"player_id","player_name","recent_team","season","week","passing_yards","passing_tds","interceptions","sacks","passing_epa"
"00-0023459","A.Rodgers","NYJ",2023,1,0,0,0,1,-2.03195988433436
"00-0026498","M.Stafford","LA",2023,1,334,0,0,0,20.6799815327286
"00-0026498","M.Stafford","LA",2023,2,307,1,2,1,-5.0891927004777
"00-0026498","M.Stafford","LA",2023,3,269,1,2,6,-8.40479001133295
"00-0026498","M.Stafford","LA",2023,4,319,1,1,2,11.3743510766937
"00-0026498","M.Stafford","LA",2023,5,222,2,0,4,-2.53626100951806
"00-0026498","M.Stafford","LA",2023,6,226,1,0,3,3.27105027212551
"00-0026498","M.Stafford","LA",2023,7,231,1,1,2,-3.59084050401609
"00-0026498","M.Stafford","LA",2023,8,162,1,1,1,-4.97871398466822
"00-0026625","B.Hoyer","LV",2023,6,102,0,0,0,4.75225916503873
"00-0026625","B.Hoyer","LV",2023,7,129,0,2,1,-13.5330319184031
"00-0027948","B.Gabbert","KC",2023,3,31,0,2,0,-6.70604539720807
"00-0027973","A.Dalton","CAR",2023,3,361,2,0,3,4.54832959122722
"00-0027973","A.Dalton","CAR",2023,5,0,0,0,0,NA
"00-0028118","T.Taylor","NYG",2023,1,6,0,0,0,-0.544656885205768
"00-0028118","T.Taylor","NYG",2023,3,0,0,0,0,-0.651543016196229
"00-0028118","T.Taylor","NYG",2023,5,86,0,0,1,2.44099393760138
"00-0028118","T.Taylor","NYG",2023,6,200,0,0,3,-2.1304791267132
"00-0028118","T.Taylor","NYG",2023,7,279,2,0,4,4.93073461419958
"00-0028118","T.Taylor","NYG",2023,8,8,0,0,2,-10.3495005793291
"00-0029263","R.Wilson","DEN",2023,1,177,2,0,2,2.35553834357005
"00-0029263","R.Wilson","DEN",2023,2,308,3,1,7,3.34650511039278
"00-0029263","R.Wilson","DEN",2023,3,306,1,1,1,2.20871873500088
"00-0029263","R.Wilson","DEN",2023,4,223,3,0,1,14.2180628651633
"00-0029263","R.Wilson","DEN",2023,5,196,2,0,4,-10.4122760055152
"00-0029263","R.Wilson","DEN",2023,6,95,1,2,4,-18.2985924329259
"00-0029263","R.Wilson","DEN",2023,7,194,1,0,1,4.09571349963049
"00-0029263","R.Wilson","DEN",2023,8,114,3,0,6,-4.84478758704126
"00-0029604","K.Cousins","MIN",2023,1,344,2,1,2,0.323689776278277
"00-0029604","K.Cousins","MIN",2023,2,364,4,0,2,17.4813372101635
"00-0029604","K.Cousins","MIN",2023,3,367,3,1,4,1.42024028697074
"00-0029604","K.Cousins","MIN",2023,4,139,2,2,2,-10.8780629536486
"00-0029604","K.Cousins","MIN",2023,5,284,2,0,3,2.56814595107582
"00-0029604","K.Cousins","MIN",2023,6,181,1,0,2,-6.1696562576938
"00-0029604","K.Cousins","MIN",2023,7,378,2,1,0,12.8574186584751
"00-0029604","K.Cousins","MIN",2023,8,274,2,0,2,19.499932799483
"00-0029701","R.Tannehill","TEN",2023,1,198,0,3,3,-12.0429618927599
"00-0029701","R.Tannehill","TEN",2023,2,246,1,0,5,1.45676405938706
"00-0029701","R.Tannehill","TEN",2023,3,104,0,0,5,-14.0256117568424
"00-0029701","R.Tannehill","TEN",2023,4,240,1,1,3,7.16572804170508
"00-0029701","R.Tannehill","TEN",2023,5,264,0,1,1,9.32952741446933
